
    Sonde serial number                          	M4643053
    Sonde type                                   	RS92-SGP
    Release point longitude                      	73.83�E
    Release point latitude                       	19.90�N
    Release point height from sea level          	1151 m
    Balloon release date and time                	2022-03-28T14:31:19

   n HeightMSL  Temp     P RH Dir Speed  MRI
             m    �C    mb  %   �   m/s     
 445      2829  19.9 783.2 28 299   5.5  589
 446      2833  19.9 782.8 28 299   5.5  590
 447      2837  19.8 782.5 28 299   5.5  591
 448      2841  19.8 782.1 28 299   5.5  591
 449      2844  19.8 781.8 28 299   5.5  592
 450      2848  19.7 781.5 28 299   5.5  592
 451      2851  19.7 781.2 28 299   5.5  593
 452      2855  19.7 780.8 28 299   5.5  593
 453      2859  19.6 780.5 29 299   5.5  594
 454      2862  19.6 780.2 29 299   5.5  594
 455      2865  19.6 779.9 29 299   5.4  594
 456      2869  19.5 779.6 29 299   5.4  595
 457      2873  19.5 779.3 29 299   5.4  596
 458      2876  19.5 779.0 29 299   5.4  596
 459      2879  19.4 778.7 29 299   5.3  596
 460      2883  19.4 778.3 29 299   5.3  597
 461      2886  19.4 778.0 29 299   5.3  597
 462      2890  19.3 777.7 29 299   5.3  598
 463      2893  19.3 777.4 29 299   5.3  598
 464      2897  19.3 777.1 29 299   5.3  599
 465      2901  19.2 776.7 29 299   5.3  599
 466      2904  19.2 776.4 29 299   5.2  600
 467      2908  19.1 776.1 29 299   5.2  600
 468      2912  19.1 775.7 29 299   5.3  601
 469      2916  19.1 775.4 29 298   5.3  602
 470      2920  19.0 775.0 29 298   5.3  602
 471      2924  19.0 774.6 30 298   5.3  603
 472      2928  18.9 774.2 30 298   5.3  603
 473      2932  18.9 773.9 30 298   5.3  604
 474      2935  18.9 773.6 30 298   5.4  604
 475      2938  18.8 773.3 30 298   5.4  605
 476      2941  18.8 773.1 30 297   5.4  605
 477      2945  18.8 772.7 30 297   5.5  606
 478      2949  18.7 772.4 30 297   5.5  606
 479      2953  18.7 772.0 30 297   5.6  607
 480      2957  18.7 771.6 30 296   5.6  607
 481      2961  18.6 771.3 30 296   5.7  608
 482      2964  18.6 771.0 30 296   5.7  608
 483      2968  18.6 770.6 30 296   5.8  609
 484      2972  18.5 770.3 30 295   5.8  610
 485      2976  18.5 769.9 31 295   5.9  610
 486      2980  18.5 769.5 31 295   5.9  611
 487      2984  18.4 769.2 31 295   5.9  611
 488      2988  18.4 768.8 30 295   6.0  612
 489      2993  18.4 768.4 30 294   6.0  612
 490      2999  18.3 767.9 30 294   6.1  613
 491      3005  18.2 767.3 30 294   6.1  613
 492      3011  18.2 766.8 30 294   6.2  614
 493      3016  18.1 766.3 30 294   6.2  615
 494      3022  18.1 765.8 31 294   6.2  616
 495      3027  18.0 765.4 31 294   6.3  617
 496      3032  18.0 764.9 31 294   6.3  618
 497      3036  17.9 764.6 31 294   6.3  618
 498      3039  17.9 764.3 32 294   6.3  619
